Community_Number,Community_Name,Population,Latitude,Longitude
101,NAKHLAT DEIRA,2,25.2048,55.2708
111,AL CORNICHE,1735,25.2582,55.2977
112,AL RASS,7460,25.2582,55.2977
113,AL DHAGAYA,15899,25.2582,55.2977
114,AL BUTEEN,2841,25.2582,55.2977
115,AL SABKHA,3969,25.2582,55.2977
116,AYAL NASIR,19280,25.2582,55.2977
117,AL MURAR,38970,25.2582,55.2977
118,NAIF,50090,25.2582,55.2977
119,AL REGA,10480,25.2582,55.2977
121,CORNICHE DEIRA,14,25.2582,55.2977
122,AL BARAHA,24747,25.2582,55.2977
123,AL MUTEENA,46185,25.2582,55.2977
124,AL MURQABAT,69771,25.2582,55.2977
125,REGA AL BUTEEN,7120,25.2048,55.2708
126,ABU HAIL,17240,25.2582,55.2977
127,HOR AL ANZ,83187,25.2582,55.2977
128,AL KHBEESI,1992,25.2582,55.2977
129,PORT SAEED,13551,25.2582,55.2977
131,AL HAMRIYA PORT,481,25.2582,55.2977
132,AL WAHEDA,20785,25.2582,55.2977
133,HOR AL ANZ EAST,21218,25.2582,55.2977
134,AL MAMZER,14938,25.2582,55.2977
213,NAD SHAMMA,3124,25.2582,55.2977
214,AL GARHOUD,18535,25.2582,55.2977
215,UM RAMOOL,2935,25.2582,55.2977
216,AL RASHIDIYA,37167,25.2582,55.2977
221,DUBAI  AIRPORT,22,25.2048,55.2708
226,AL TWAR FIRST,11509,25.2582,55.2977
227,AL TWAR SECOND,4835,25.2582,55.2977
228,AL TWAR THIRD,10655,25.2582,55.2977
231,AL NAHDA FIRST,31449,25.2582,55.2977
232,AL QUSAIS FIRST,45657,25.2582,55.2977
233,AL QUSAIS SECOND,12473,25.2582,55.2977
234,AL QUSAIS THIRD,7162,25.2048,55.2708
241,AL NAHDA SECOND,61936,25.2048,55.2708
242,AL QUSAIS IND. FIRST,9369,25.2048,55.2708
243,AL QUSAIS IND. SECOND,8834,25.2048,55.2708
244,MUHAISANAH THIRD,6493,25.2048,55.2708
245,MUHAISANAH FOURTH,34947,25.2048,55.2708
246,AL QUSAIS IND. THIRD,2710,25.2048,55.2708
247,AL QUSAIS IND. FOURTH,2709,25.2048,55.2708
248,AL QUSAIS IND FIFTH,1613,25.2048,55.2708
251,MURDAF,64355,25.2048,55.2708
252,MUSHRAIF,67,25.2048,55.2708
261,MUHAISANAH FIRST,8091,25.2048,55.2708
262,AL MEZHAR FIRST,16552,25.2048,55.2708
263,AL MEZHAR SECOND,11317,25.2048,55.2708
264,MUHAISANAH SECOND ,196316,25.2048,55.2708
265,OUD AL MUTEEN FIRST,14672,25.2048,55.2708
266,OUD AL MUTEEN SECOND ,5506,25.2048,55.2708
267,MUHAISANAH FIFTH,2,25.2048,55.2708
268,OUD AL MUTEEN THIRD ,6679,25.2048,55.2708
271,WADI ALAMRADI,3368,25.2048,55.2708
281,AL KHAWANEEJ ONE,12893,25.2048,55.2708
282,AL KHAWANEEJ TWO,4523,25.2048,55.2708
283,AL AYAS,1757,25.2048,55.2708
284,AL TTAY,810,25.2048,55.2708
302,JUMEIRA BAY,39,25.2048,55.2708
303,WORLD ISLANDS,7,25.2048,55.2708
304,JUMEIRA ISLAND 2,3,25.2048,55.2708
311,AL SHANDAGA,2,25.2048,55.2708
312,AL SUQ AL KABEER,51012,25.2048,55.2708
313,AL HAMRIYA,36738,25.2048,55.2708
314,UM HURAIR FIRST,5856,25.2048,55.2708
315,UM HURAIR SECOND,5328,25.2048,55.2708
316,AL RAFFA,47140,25.2048,55.2708
317,AL MANKHOOL,40091,25.2048,55.2708
318,AL KARAMA,75066,25.2582,55.2977
319,OUD METHA,14901,25.2048,55.2708
321,MADINAT DUBAI AL MELAHEYAH (AL MINA),15172,25.2048,55.2708
322,AL HUDAIBA,14191,25.2048,55.2708
323,AL JAFLIYA,23963,25.2048,55.2708
324,AL KIFAF,2,25.2048,55.2708
325,ZAABEEL FIRST,3260,25.2048,55.2708
326,AL JADAF,5104,25.2048,55.2708
332,JUMEIRA FIRST,20356,25.2048,55.2708
333,AL BADA,56734,25.2048,55.2708
334,AL SATWA,38991,25.2048,55.2708
335,TRADE CENTER FIRST,16519,25.2048,55.2708
336,TRADE CENTER SECOND,12218,25.2048,55.2708
337,ZAABEEL SECOND,8102,25.2048,55.2708
342,JUMEIRA SECOND,10079,25.2048,55.2708
343,AL WASL,11555,25.2048,55.2708
345,BURJ KHALIFA,20477,25.2048,55.2708
346,AL KALIJ AL TEJARI,21179,25.2048,55.2708
347,AL MERKADH,1317,25.2048,55.2708
352,JUMEIRA THIRD,13417,25.2048,55.2708
353,AL SAFFA FIRST,8514,25.2048,55.2708
354,AL GOZE FIRST,20154,25.2048,55.2708
355,AL GOZE SECOND,5240,25.2048,55.2708
356,UM SUQAIM FIRST,11718,25.2048,55.2708
357,AL SAFFA SECOND,6679,25.2048,55.2708
358,AL GOZE THIRD,40553,25.2048,55.2708
359,AL GOZE FOURTH,22718,25.2048,55.2708
362,UM SUQAIM SECOND,12325,25.2048,55.2708
363,AL MANARA,8271,25.2048,55.2708
364,AL GOZE IND. FIRST ,26075,25.2048,55.2708
365,AL GOZE IND. SECOND ,159978,25.2048,55.2708
366,UM SUQAIM THIRD,7520,25.2048,55.2708
367,UM AL SHEIF,4367,25.2048,55.2708
368,AL GOZE IND. THIRD ,26656,25.2048,55.2708
369,AL GOZE IND. FOURTH ,38079,25.2048,55.2708
372,AL SAFOUH FIRST,4435,25.2048,55.2708
373,AL BARSHAA FIRST,39451,25.2048,55.2708
375,AL BARSHAA THIRD,14601,25.2048,55.2708
376,AL BAESHAA SECOND,15523,25.2048,55.2708
381,NAKHLAT JUMEIRA ,24448,25.2048,55.2708
382,AL SOFOUH SECOND,6126,25.2048,55.2708
383,AL THANYAH FIRST (V. RABIE SAHRA'A),24834,25.2048,55.2708
384,AL THANYAH SECOND (JEBEL ALI HORSE RACING),115,25.2048,55.2708
388,AL THANYAH THIRD (EMIRATE HILLS SECOND),21442,25.2048,55.2708
392,MARSA DUBAI (AL MINA AL SEYAHI) ,61047,25.2048,55.2708
393,AL THANYAH FIFTH (EMIRATE HILLS FIRST) ,40586,25.2048,55.2708
394,AL THANYAH FOURTH (EMIRATE HILLS THIRD) ,27728,25.2048,55.2708
