"unique_id","f_name_english","f_name_arabic","facility_category_name_english","facility_category_name_arabic","facilitysubcategorynameenglish","facilitysubcategorynamearabic","address_line_one","address_line_two_english","address_line_two_arabic","po_box","website","telephone_1","telephone_2","fax","expiry_date","status","area_id","x_coordinate","y_coordinate","email","area_english","area_arabic"
"0000062","Aster J B R Pharmacy Br Of Aster Pharmacies Group LLC","صيدلية أستر جيه بي ار فرع من مجموعة صيدليت استر ش.ذ.م.م","Pharmacy","الصيدلة","Community/Retail Pharmacy","صيدلية","Jumeira Beach Residence","King Salman bin Abdulaziz Al Saud Street","Marsa Dubai ","","www.asterpharmacy.com","04-4471127","","","","FAC_ACT","178","25.080140248712627","55.137429709920966","asterjbr@asterpharmacy.com","Marsa Dubai ","Marsa Dubai "
"0000109","Novo Pharmacy L L C","صيدلية نوفو ش ذ م م","Pharmacy","الصيدلة","Community/Retail Pharmacy","صيدلية","B#maysoon","6b Street 16–18","OUD METHA","","www.novopharmacies.com","971586014906","","","","FAC_ACT","43","25.234956903811327","55.3084914190394","hr@novoholdingsltd.com","OUD METHA","OUD METHA"
"0000122","Al Rahmah Home Nursing Services","الرحمة لخدمات التمريض المنزلي","General Practice","طب عام","Home Healthcare Center","مركز خدمات الصحة المنزلية","al shafar tower 1","Al Saef 1 Street 5","AL BARSHA SOUTH FIRST","","","","","","","FAC_ACT","160","25.098188137609426","55.17463899876154","","AL BARSHA SOUTH FIRST","AL BARSHA SOUTH FIRST"
"0000127","Barakat Optical Dso Branch","نظارات البركات فرع دي ايس او","Optometry","بصريات","Clinical Support (1 Spec) Center – Optical","مركز خدمات صحية مساندة (تخصص واحد) - بصريات","Spinnys Community Hall","Dubai Silicone","AL ROWAIYAH SECOND","","www.barakatoptical.com","971-50-8438954","","","","FAC_ACT","246","25.127201755739","55.396687783454375","admin@barakatoptical.ae","AL ROWAIYAH SECOND","AL ROWAIYAH SECOND"
"0000160","Get On Track","جيت اون تراك","Physiotherapy","علاج طبيعي","Clinical Support (1 Spec) Center","مركز خدمات صحية مساندة (تخصص واحد)","Villa","Al Mejadmi Street 94","UMM AL SHEIF","","www.gotdubai.com","971 4 3805569","","","","FAC_ACT_AEX","128","25.13456170915173","55.199946016124635","info@gotdubai.com","UMM AL SHEIF","UMM AL SHEIF"
"0000161","Dr Johnny Sayegh Clinic","عيادة الدكتور جوني الصايغ","Pediatrics","طب الأطفال","Specialty Clinic","عيادة تخصصية","Al Wadi Building","Al Badaa' Street 41","Al Wasl","","","971-50-6873133","","","","FAC_ACT_AEX","112","25.20054646533093","55.26622030351874","drsayegh@eim.ae","Al Wasl","Al Wasl"
"0000166","STEP BY STEP NURSERY BRANCH","حضانة خطوة بخطوة فرع ","","","School clinic","عيادة مدرسية أو عيادة في مؤسسة تعليمية","Buildings For Dubai Properties","Al Baz 2","Mirdif","","","00-971-555453037","","","","FAC_CAN","86","25.215884132875406","55.427815559370025","nurse-mirdif@stepbystepnursery.ae","Mirdif","Mirdif"
"0000200","Omniyati Prosthetics Arts Center","مركز أُمنيتي لفن تصنيع الاعضاء","Prosthetics and Orthotics","الأطراف الصناعية والتراكيب المقومة","Clinical Support (1 Spec) Center","مركز خدمات صحية مساندة (تخصص واحد)","Business Village B","3c Street 1","Port Saeed","","opacuae.com","042522282","","","","FAC_ACT","32","25.256746709929114","55.32658728700616","mail@opacuae.com","Port Saeed","Port Saeed"
"0000200","Omniyati Prosthetics Arts Center","مركز أُمنيتي لفن تصنيع الاعضاء","Prosthetics and Orthotics","الأطراف الصناعية والتراكيب المقومة","Clinical Support (1 Spec) Center","مركز خدمات صحية مساندة (تخصص واحد)","Business Village B","3c Street 1","Port Saeed","","opacuae.com","042522282","","","","FAC_ACT","32","25.256746709929114","55.32658728700616","mail@opacuae.com","Port Saeed","Port Saeed"
"0000233","Specialized Medical And Dental Center","المركز الطبي المتخصص والأسنان","General Dentistry","طب أسنان عام","Polyclinic (Multiple Specialties)","مركز طبي (مُتعدِّد التخصُّصات)","Shiekh Hamdan Awards Complex","Aldyifa","JUMEIRA FIRST","","","971-56-3838401","","","","FAC_ACT_AEX","106","25.240491701043815","55.27217877452317","info.smdc.dxb@gmail.com","JUMEIRA FIRST","JUMEIRA FIRST"
"0000247","Noor Al Iman Pharmacy","صيدلية نور الإيمان","Pharmacy","الصيدلة","Community/Retail Pharmacy","صيدلية","J3-Khalid Gharib Binjarsh","Jumeirah Street 617–621","UMM SUQEIM FIRST","","www.life-me.com","971-50-4541801","","","","FAC_ACT","119","25.165262672055995","55.212446898578996","nooralimanphy@life-me.com","UMM SUQEIM FIRST","UMM SUQEIM FIRST"
"0000259","Family First Medical Center LLC","مركز فاميلي فيرست الطبي ش ذ م م","Obstetrics and Gynecology","أمراض النساء والولادة","Polyclinic (Multiple Specialties)","مركز طبي (مُتعدِّد التخصُّصات)","Al Meraas","Al Wasl Road Um Al Sheif Dubai UAE","UMM AL SHEIF","","","971-55-2581677","","","","FAC_ACT","128","25.170577","55.150404","srafaa@hotmail.com","UMM AL SHEIF","UMM AL SHEIF"
"0000277","The Wonder Years Nursery","حضانة ذي وندر يرس","Nursing","التمريض","School clinic","عيادة مدرسية أو عيادة في مؤسسة تعليمية","Nursery Building - The Wonder Years Nursery","Al Hebia","AL HEBIAH FOURTH","","www.wonderyearsnursery.com","971-050-8585758","","","","FAC_ACT_AEX","221","25.04020717106067","55.218987874373596","manager@wonderyearsnursery.com","AL HEBIAH FOURTH","AL HEBIAH FOURTH"
"0000328","Dr Roze And Associates Dental Clinic LLC","عيادة الدكتور روز وشركاه لطب الاسنان ش.ذ.م.م","General Dentistry","طب أسنان عام","Polyclinic (Multiple Specialties)","مركز طبي (مُتعدِّد التخصُّصات)","Dr Rose And Associates Villa","Jumeirah Street 741–755","UMM SUQEIM SECOND","","","04 388 1313","","","","FAC_ACT","123","25.15233890004707","55.20137268713838","faye@drroze.com","UMM SUQEIM SECOND","UMM SUQEIM SECOND"
"0000329","Dr Michaels Dental Clinic Branch","عيادة الدكتور مايكل لطب الاسنان فرع","General Dentistry","طب أسنان عام","Polyclinic (Multiple Specialties)","مركز طبي (مُتعدِّد التخصُّصات)","Ismail Faraidooni","شارع البومية 123","UMM SUQEIM FIRST","","www.drmichaels.com","971-50-7749492","","","","FAC_ACT","119","25.15738637158238","55.21759458074784","pro.drmichaels@gmail.com","UMM SUQEIM FIRST","UMM SUQEIM FIRST"
"0000335","Cavallo Clinic L L C","عياده كفالو ش ذ م م","Plastic Surgery","الجراحة التجميلية","Polyclinic (Multiple Specialties)","مركز طبي (مُتعدِّد التخصُّصات)","Mohamed Ahmed Bin Fahad","Al Raaji Street 77","UMM SUQEIM FIRST","","","055-55-33633","","","","FAC_ACT","119","25.165322497510505","55.223246701113155","info@cavalloclinic.ae","UMM SUQEIM FIRST","UMM SUQEIM FIRST"
