school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,nearest_metro_station,nearest_metro_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,metro_within_1km,metro_within_2km,metro_within_5km,accessibility_score
Adab Iranian Private School - Boys,Al Qusais,25.276381,55.368653,KG1-G12,260.0,1989.0,Iranian,Adab Iranian Pvt. School,Nursing,0.04436510353828307,Al Nahda,0.35239101154570235,18,83,318,30,40,150,0.22918064834273463
Adab Iranian Private School - Girls,Al Qusais,25.276431,55.369036,KG1-G12,192.0,1989.0,Iranian,Adab Iranian Pvt. School,Nursing,0.07856633643950442,Al Nahda,0.35243176321396663,19,83,314,30,40,150,0.24288559250418174
Al Ameen Private School,Al Nahda,25.290983,55.378581,FS1-G10,613.0,1992.0,UK,M S B Private School,General Practice,0.033138771724353866,Al Nahda,2.1773559146506933,28,69,167,0,0,70,1.3196690574801575
Al Arqam Private School,Al Barsha ,25.108514,55.189206,KG1-G12,922.0,1990.0,MOE,Al Arqam Pvt. School,General Practice,0.0717973026071669,Mashreq,0.7212537663431201,24,94,308,10,30,50,0.46147118084873884
Al Basateen Kindergarten - Al Khawaneej,Al Khawaneej,25.231106,55.522533,KG1-KG2,140.0,2003.0,MOE,Dubai Women Association- Al Basateen Private Nursery,Nursing,0.02589210639658955,Etisalat,12.503518102691588,1,1,5,0,0,0,7.512467704173589
Al Diyafah High School,Al Nahda,25.290128,55.374764,FS1-G12,1547.0,1982.0,UK,Al Diyafah High School,General Practice,0.03099744699033442,Stadium,1.9067202782386332,40,77,176,0,20,80,1.1564311457393137
Al Eman Private School,Al Rashidiya,25.230481,55.389272,KG1-G9,494.0,1973.0,MOE,Be You Plus Clinic LLC,General Dentistry,0.109352461559098,Rashidiya,0.19585049380001607,6,9,179,10,10,70,0.16125128090364885
Al Ittihad Private School - Al Mamzar,Al Mamzar,25.299889,55.344353,KG1-G12,2065.0,1975.0,US,Al Ittihad Pvt. School Clinic,General Practice,0.09111550299231355,Al Qiyadah,2.611649321963178,3,18,250,0,0,90,1.6034357943748319
Al Ittihad Private School - Jumeirah,Al Safa,25.180714,55.241033,KG1-G12,1749.0,1998.0,US,Al Ittihad Private School- Jumeira,General Practice,0.1065191161660097,Business Bay,2.2768324518027057,35,111,460,0,0,40,1.4087071175480272
Al Khaleej National School,Al Garhoud,25.234294,55.352911,KG1-G12,2075.0,1992.0,US,Matar Medical Center,General Surgery,0.12237952953250121,Airport Terminal 3,1.3649900607167336,15,46,417,0,30,180,0.8679458482430406
Al Maaref Private School,Al Qusais,25.286192,55.367858,KG1-G12,1648.0,1987.0,US,The Millenium School,General Practice,0.04766778194772554,Stadium,1.1263940057665096,36,85,241,0,40,110,0.6949035162389959
Al Mawakeb School - Al Barsha,Al Barsha,25.104503,55.201706,KG1-G12,2515.0,1998.0,US,ALMAWAKEB SCHOOL ALBARSHA,General Practice,0.02898614508753897,Mashreq,1.5780907907243225,21,78,286,0,20,50,0.958448932469609
