school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,total_healthcare_facilities,nearest_metro_station,nearest_metro_distance_km,metro_within_1km,metro_within_2km,metro_within_5km,total_metro_stations,hospitals_within_5km,clinics_within_5km,pharmacies_within_5km,food_venues_within_5km,shopping_venues_within_5km,entertainment_venues_within_5km,accessibility_score,healthcare_accessibility_score,metro_accessibility_score,overall_urban_score
Greenwood International School,Al Muhaisnah ,25.244239,55.4183,KG1-G12,1023.0,1992.0,UK,Greenwood International School,General Practice,0.0039270251611087,10,37,151,2312,Etisalat,2.098829216365047,0,0,30,540,0,3,2,3,3,3,1.2608683398834717,0.003,2.099,0.808
K12 International Academy,Knowledge Village,25.101772,55.160615,KG2-G12,344.0,2008.0,US,Smart Salem Medical Center 3 FZ LLC,Family Medicine,0.0060307747478722,8,44,276,2312,Dubai Internet City,1.3262598962158048,0,20,60,540,0,20,3,6,6,6,0.7981682476286317,0.005,1.194,1.041
Pakistan Education Academy,Umm Hurair,25.241917,55.316989,KG1-G12,1689.0,1973.0,Pakistani,Pakistan Education Acedemy,General Practice,0.0073506630485379,64,231,673,2312,Oud Metha,0.2205757304098616,10,50,240,540,0,59,16,24,24,24,0.1352857034653321,0.006,0.176,1.173
Al Mizhar American Academy Private School for Girls,Al Mizhar,25.238386,55.428675,KG1-G12,664.0,2005.0,US,AMERICAN ACADEMY FOR GIRLS (BR TAALEEM MANAGEMENT (L L C) ),Nursing,0.0129790101723146,31,51,115,2312,Etisalat,3.3281307984620794,0,0,30,540,0,1,1,3,3,3,2.0020700831461733,0.01,3.328,0.64
Dubai National School - Al Twar,Al Twar,25.278803,55.368489,KG1-G12,1957.0,2000.0,US,Dubai National School(Al Qusais),General Practice,0.0126716441170397,25,89,304,2312,Al Nahda,0.6207881874162721,20,40,150,540,0,19,6,15,15,15,0.377541570096579,0.01,0.497,1.125
Arab Unity School,Al Mizhar,25.236325,55.429928,FS1-G12,3331.0,1975.0,UK,ARAB UNITY SCHOOL L.L.C,General Practice,0.013688703864486,32,53,113,2312,Etisalat,3.5613403009178546,0,0,20,540,0,1,1,2,2,2,2.142279662096507,0.011,3.561,0.602
Safa Community School,Dubai land,25.061716,55.248441,FS1-G7,101.0,2014.0,UK,Safa Community School,Nursing,0.0149093334716696,7,17,90,2312,Mall of the Emirates,8.194971177541007,0,0,0,540,0,2,1,0,0,0,4.922946439913272,0.012,8.195,0.419
The Indian High School,Oud Metha,25.240542,55.315133,G5-G12,5896.0,1961.0,Indian(CBSE),The Indian High School Clinic,General Practice,0.0174338087254843,79,218,676,2312,Oud Metha,0.3572399335285451,10,40,230,540,0,58,16,23,23,23,0.2213174836073208,0.014,0.286,1.156
GEMS International School - Al Khail,Al Khail ,25.122362,55.255576,KG1-G8,567.0,2013.0,IB,Gems International School Al Khail LLC,Nursing,0.0179261806536519,4,14,115,2312,Noor Bank,4.603054739230393,0,0,20,540,0,2,3,2,2,2,2.7690033157996963,0.014,4.603,0.487
American International School,Al Qusais,25.283458,55.368764,KG1-G12,2349.0,2003.0,US,American International School,General Practice,0.0196565877910611,36,92,256,2312,Stadium,0.9577430886861048,10,40,120,540,0,15,6,12,12,12,0.5825084883280873,0.016,0.766,1.084
