school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,total_healthcare_facilities,nearest_metro_station,nearest_metro_distance_km,metro_within_1km,metro_within_2km,metro_within_5km,total_metro_stations,hospitals_within_5km,clinics_within_5km,pharmacies_within_5km,food_venues_within_5km,shopping_venues_within_5km,entertainment_venues_within_5km,accessibility_score,healthcare_accessibility_score,metro_accessibility_score,overall_urban_score
Adab Iranian Private School - Boys,Al Qusais,25.276381,55.368653,KG1-G12,260.0,1989.0,Iranian,Adab Iranian Pvt. School,Nursing,0.044365103538283,18,83,318,2312,Al Nahda,0.3523910115457023,30,40,150,540,0,19,6,15,15,15,0.2291806483427346,0.035,0.282,1.156
Adab Iranian Private School - Girls,Al Qusais,25.276431,55.369036,KG1-G12,192.0,1989.0,Iranian,Adab Iranian Pvt. School,Nursing,0.0785663364395044,19,83,314,2312,Al Nahda,0.3524317632139666,30,40,150,540,0,19,6,15,15,15,0.2428855925041817,0.063,0.282,1.155
Al Ameen Private School,Al Nahda,25.290983,55.378581,FS1-G10,613.0,1992.0,UK,M S B Private School,General Practice,0.0331387717243538,28,69,167,2312,Al Nahda,2.1773559146506933,0,0,70,540,0,7,3,7,7,7,1.3196690574801575,0.027,2.177,0.877
Al Arqam Private School,Al Barsha ,25.108514,55.189206,KG1-G12,922.0,1990.0,MOE,Al Arqam Pvt. School,General Practice,0.0717973026071669,24,94,308,2312,Mashreq,0.7212537663431201,10,30,50,540,0,14,6,5,5,5,0.4614711808487388,0.057,0.577,1.101
Al Basateen Kindergarten - Al Khawaneej,Al Khawaneej,25.231106,55.522533,KG1-KG2,140.0,2003.0,MOE,Dubai Women Association- Al Basateen Private Nursery,Nursing,0.0258921063965895,1,1,5,2312,Etisalat,12.503518102691588,0,0,0,540,0,0,0,0,0,0,7.512467704173589,0.021,12.504,0.399
Al Diyafah High School,Al Nahda,25.290128,55.374764,FS1-G12,1547.0,1982.0,UK,Al Diyafah High School,General Practice,0.0309974469903344,40,77,176,2312,Stadium,1.9067202782386332,0,20,80,540,0,7,3,8,8,8,1.1564311457393135,0.025,1.716,0.92
Al Eman Private School,Al Rashidiya,25.230481,55.389272,KG1-G9,494.0,1973.0,MOE,Be You Plus Clinic LLC,General Dentistry,0.109352461559098,6,9,179,2312,Rashidiya,0.195850493800016,10,10,70,540,0,6,1,7,7,7,0.1612512809036488,0.087,0.157,1.102
Al Ittihad Private School - Al Mamzar,Al Mamzar,25.299889,55.344353,KG1-G12,2065.0,1975.0,US,Al Ittihad Pvt. School Clinic,General Practice,0.0911155029923135,3,18,250,2312,Al Qiyadah,2.611649321963178,0,0,90,540,0,13,2,9,9,9,1.603435794374832,0.073,2.612,0.883
Al Ittihad Private School - Jumeirah,Al Safa,25.180714,55.241033,KG1-G12,1749.0,1998.0,US,Al Ittihad Private School- Jumeira,General Practice,0.1065191161660097,35,111,460,2312,Business Bay,2.2768324518027057,0,0,40,540,0,21,5,4,4,4,1.4087071175480272,0.085,2.277,0.923
Al Khaleej National School,Al Garhoud,25.234294,55.352911,KG1-G12,2075.0,1992.0,US,Matar Medical Center,General Surgery,0.1223795295325012,15,46,417,2312,Airport Terminal 3,1.3649900607167336,0,30,180,540,0,30,12,18,18,18,0.8679458482430406,0.098,1.228,1.031
Al Maaref Private School,Al Qusais,25.286192,55.367858,KG1-G12,1648.0,1987.0,US,The Millenium School,General Practice,0.0476677819477255,36,85,241,2312,Stadium,1.1263940057665096,0,40,110,540,0,15,5,11,11,11,0.6949035162389959,0.038,1.014,1.063
Al Mawakeb School - Al Barsha,Al Barsha,25.104503,55.201706,KG1-G12,2515.0,1998.0,US,ALMAWAKEB SCHOOL ALBARSHA,General Practice,0.0289861450875389,21,78,286,2312,Mashreq,1.5780907907243225,0,20,50,540,0,11,5,5,5,5,0.958448932469609,0.023,1.42,0.969
Al Mawakeb School - Al Garhoud,Al Garhoud,25.234675,55.358314,KG1-G12,2429.0,1995.0,US,Al Mawakeb School,General Practice,0.0837638308885029,7,27,375,2312,Emirates,1.029512508100886,0,30,190,540,0,27,11,19,19,19,0.6512130372159328,0.067,0.927,1.073
Al Rashid Al Saleh Private School,Oud Metha,25.237524,55.317428,KG1-G12,2583.0,1973.0,MOE,Al Rashid Al Saleh Pvt. School Clinic,General Practice,0.0968652143994271,90,188,676,2312,Oud Metha,0.6989350449393369,20,20,230,540,0,58,16,23,23,23,0.4581071127233729,0.077,0.559,1.112
Al Sadiq Islamic English School,Al Qusais,25.265897,55.385764,FS1-G10,1896.0,1989.0,UK,Al Sadiq Islamic English School,General Practice,0.0522089931449363,23,45,226,2312,Al Qusais,0.3991039078937602,10,40,120,540,0,10,6,12,12,12,0.2603459419942307,0.042,0.319,1.15
Al Safa Private School,Al Safa ,25.178439,55.238414,FS1-G6,748.0,2005.0,UK,Jumairah International Nursery- Branch,Nursing,0.1786710910099255,41,102,469,2312,Business Bay,2.634337849276107,0,0,30,540,0,20,5,3,3,3,1.6520711459696344,0.143,2.634,0.877
Al Salam Private School,Al Nahda,25.288675,55.369481,FS1-G11,1174.0,1989.0,UK,Al Salam Pvt. School,General Practice,0.0250916774769227,33,76,206,2312,Stadium,1.4466397070824588,0,20,100,540,0,11,5,10,10,10,0.8780204952402444,0.02,1.302,1.025
