school_name,nearest_community,nearest_community_distance_km,nearest_community_population,communities_within_1km,communities_within_2km,communities_within_5km,population_within_1km,population_within_2km,population_within_5km,avg_distance_to_communities_km
Adab Iranian Private School - Boys,DUBAI  AIRPORT,2.6093148402111654,22,0,0,14,0,0,209383,51.720248710671115
Adab Iranian Private School - Girls,DUBAI  AIRPORT,2.6199275980039087,22,0,0,14,0,0,209383,51.705505899929214
Al Ameen Private School,AL QUSAIS IND. FOURTH,3.5877708006857594,2709,0,0,10,0,0,243319,50.67116218199295
Al Arqam Private School,AL BARSHAA FIRST,1.397633095351262,39451,0,8,8,0,131088,131088,73.03908175187472
Al Basateen Kindergarten - Al Khawaneej,UM RAMOOL,10.479411291821036,2935,0,0,0,0,0,0,52.91945877419875
Al Diyafah High School,AL QUSAIS IND. THIRD,3.3823969937944836,2710,0,0,11,0,0,255792,50.82983890025854
Al Eman Private School,AL MURQABAT,1.8840701569528038,69771,0,1,12,0,69771,324399,53.913856333833266
Al Ittihad Private School - Al Mamzar,AL QUSAIS IND. SECOND,0.4039306316492856,8834,3,5,15,20913,30784,413552,51.51000781683384
Al Ittihad Private School - Jumeirah,BURJ KHALIFA,3.825286439960529,20477,0,0,8,0,0,88826,64.34106004544779
Al Khaleej National School,CORNICHE DEIRA,0.2921830736865025,14,2,4,13,10494,85331,290729,54.71969726765333
Al Maaref Private School,AL QUSAIS IND. SECOND,3.1581085847187658,8834,0,0,11,0,0,294956,51.2454169564609
Al Mawakeb School - Al Barsha,AL BARSHAA FIRST,1.0117288288748576,39451,0,8,8,0,131088,131088,72.56541642852633
Al Mawakeb School - Al Garhoud,CORNICHE DEIRA,0.31288525997558086,14,2,5,12,24761,131516,287888,54.504809622237055
Al Rashid Al Saleh Private School,AYAL NASIR,2.0996411357303306,19280,0,0,17,0,0,369202,56.03577343431514
Al Sadiq Islamic English School,DUBAI  AIRPORT,2.4937054101791762,22,0,0,4,0,0,35263,51.80522219733205
Al Safa Private School,BURJ KHALIFA,4.178936765719631,20477,0,0,8,0,0,88826,64.67223077461654
Al Salam Private School,AL QUSAIS IND. THIRD,3.0835367032575784,2710,0,0,12,0,0,301449,51.06967371988914
Al Shorouq Private School,JUMEIRA BAY,1.8118524916137417,39,0,7,8,0,68349,88826,61.19964614858159
Ambassador Kindergarten,AL TWAR FIRST,1.359455157957869,11509,0,2,16,0,86575,381353,56.74998734011953
Al Mizhar American Academy Private School for Girls,HOR AL ANZ,5.127467080297136,83187,0,0,0,0,0,0,52.69588853191279
American International School,DUBAI  AIRPORT,3.3925619743104294,22,0,0,11,0,0,294956,51.35261571714629
American School of Dubai,AL BARSHAA FIRST,2.47599790909636,39451,0,0,8,0,0,131088,74.17658654319901
Apple International School,DUBAI  AIRPORT,3.0192877996765524,22,0,0,8,0,0,44892,51.39695130173982
Arab Unity School,AL KHBEESI,5.009832588908054,1992,0,0,0,0,0,0,52.817099538713705
Bradenton Preparatory Academy,AL BARSHAA FIRST,9.140113262103643,39451,0,0,0,0,0,0,77.26822973038188
Buds Public School,REGA AL BUTEEN,3.9607920652107635,7120,0,0,8,0,0,250264,52.872792694417384
Cambridge International School,AL REGA,0.3922144651504087,10480,2,4,13,10494,85331,290729,54.691386815809736
Collegiate American School,AL BARSHAA FIRST,4.151935760790938,39451,0,0,8,0,0,131088,68.6608472827219
Crescent English School,DUBAI  AIRPORT,3.175844250698886,22,0,0,13,0,0,206980,51.487478776453685
Dar Al Marefa Private School,AL KHBEESI,4.385236086473763,1992,0,0,5,0,0,116451,53.37558529752467
Deira International School,AL MURQABAT,0.7091221830740743,69771,2,4,13,76891,140316,324880,55.569421584041166
Deira Private School,AL MURQABAT,3.4869554029110335,69771,0,0,10,0,0,260758,52.927362497125365
Delhi Private School Dubai,AL BARSHAA FIRST,11.556323842071825,39451,0,0,0,0,0,0,83.21251836908523
GEMS Dubai American Academy,AL BARSHAA FIRST,0.5923408444858219,39451,8,8,8,131088,131088,131088,71.37848254253001
Dubai Arab American Private School,ABU HAIL,4.885782171860533,17240,0,0,2,0,0,24360,52.45393268624471
Dubai British School,AL BARSHAA FIRST,7.237701978210384,39451,0,0,0,0,0,0,78.75291365982423
Dubai Carmel School,AL QUSAIS IND FIFTH,3.254704740223889,1613,0,0,10,0,0,278244,50.38264196425056
Dubai College,AL BARSHAA FIRST,3.3299107864642896,39451,0,0,8,0,0,131088,74.28050395583483
Dubai English Speaking College,AL GARHOUD,8.066391965439045,18535,0,0,0,0,0,0,64.23028513013165
Dubai English Speaking School,AYAL NASIR,2.0164257376891808,19280,0,0,17,0,0,369202,55.974101170127085
Dubai Gem Private School,AYAL NASIR,2.3163267237466365,19280,0,0,17,0,0,369202,56.20213980342921
Dubai International Academy,AL BARSHAA FIRST,4.589201002286149,39451,0,0,8,0,0,131088,76.25352009834303
Dubai International School - Al Garhoud,NAIF,0.5644371965715737,50090,2,4,22,89060,118820,543310,54.23902133169363
Dubai International School - Al Quoz,BURJ KHALIFA,3.248272556012464,20477,0,0,8,0,0,88826,63.83648274907216
Dubai Modern Education School,HOR AL ANZ,5.082257624238819,83187,0,0,0,0,0,0,52.6835451199527
GEMS Modern Academy,PORT SAEED,5.508576211757915,13551,0,0,0,0,0,0,60.4054153629548
Dubai National School - Al Barsha,AL BARSHAA FIRST,1.208399127228666,39451,0,8,8,0,131088,131088,72.95534794853616
Dubai National School - Al Twar,DUBAI  AIRPORT,2.8748734314440103,22,0,0,14,0,0,217460,51.59932570283194
Dubai Police Kindergarten - Deira,AL QUSAIS THIRD,0.929818191566027,7162,1,5,23,7162,83495,347761,52.321484367584105
Dubai Scholars Private School,DUBAI  AIRPORT,3.017228191177205,22,0,0,16,0,0,283365,51.64871301990789
Dubai Women's College High School,DUBAI  AIRPORT,3.7192782648695415,22,0,0,10,0,0,249299,51.03274916326725
Emirates English Speaking School,BURJ KHALIFA,3.9620556034001164,20477,0,0,8,0,0,88826,64.525779435414
Emirates International School - Jumeirah,AL BARSHAA FIRST,1.9609754185428276,39451,0,8,8,0,131088,131088,70.36750224831069
Emirates International School - Meadows,AL BARSHAA FIRST,7.121203907476793,39451,0,0,0,0,0,0,78.8300225424717
English Language Private School,AYAL NASIR,1.6861177570783923,19280,0,3,20,0,62219,416616,55.7322608002655
GEMS Jumeirah Primary School,BURJ KHALIFA,4.303174477704998,20477,0,0,8,0,0,88826,64.83581554303078
GEMS Royal Dubai School,AL KHBEESI,5.624303075919786,1992,0,0,0,0,0,0,52.654066174231346
GEMS Wellington Academy - DSO,AL MAMZER,7.7552916556447,14938,0,0,0,0,0,0,63.327297360442174
GEMS Wellington International School,AL BARSHAA FIRST,1.8659831346580122,39451,0,8,8,0,131088,131088,73.14599865098413
GEMS Wellington Primary School,JUMEIRA BAY,0.720374622355769,39,7,8,8,68349,88826,88826,60.26859338255962
GEMS Winchester School,AL MURAR,2.3918495467512217,38970,0,0,16,0,0,345991,56.231620959924776
GEMS World Academy,AL BARSHAA FIRST,3.916141409760571,39451,0,0,8,0,0,131088,73.46181386203584
Ambassador School,AL TWAR FIRST,1.6258033079425231,11509,0,2,21,0,86575,353955,57.11094404897711
Grammar School,CORNICHE DEIRA,0.4364944479078938,14,2,4,13,10494,85331,290729,54.67499964166231
Greenfield Community School,AL BARSHAA FIRST,14.633503549289117,39451,0,0,0,0,0,0,84.43983657591743
Greenwood International School,ABU HAIL,4.918032088817028,17240,0,0,1,0,0,17240,52.459894162696244
Gulf Indian High School,AL REGA,0.2625730857277942,10480,2,5,13,10494,124301,273491,54.68797845578368
Gulf Model School,DUBAI  AIRPORT,5.047757255780398,22,0,0,0,0,0,0,50.66109178443248
His Highness Shaikh Rashid Al Maktoum Pakistani School,AL QUSAIS IND. SECOND,3.389783799770161,8834,0,0,11,0,0,294956,51.22418363101217
Horizon English School,BURJ KHALIFA,2.5834882128399626,20477,0,0,8,0,0,88826,63.10932519546603
Institute of Applied Technology,DUBAI  AIRPORT,3.7336292901721766,22,0,0,1,0,0,22,51.24482066850754
International Academic School,PORT SAEED,0.9426953246919262,13551,1,4,11,13551,36809,253407,56.8945755223969
International School of Arts and Sciences,PORT SAEED,0.8024187886710906,13551,1,4,12,13551,99211,299592,56.64346328705604
Islamic School for Education and Training,DUBAI  AIRPORT,5.189484487013391,22,0,0,0,0,0,0,51.97630479266837
Japanese School in Dubai,BURJ KHALIFA,2.0999605604881806,20477,0,0,8,0,0,88826,62.647160157125356
Jebel Ali Primary School,AL BARSHAA FIRST,12.1773303229198,39451,0,0,0,0,0,0,83.8318848796097
JSS International School,AL BARSHAA FIRST,4.497962383406415,39451,0,0,8,0,0,131088,74.33519997218475
JSS Private School,BURJ KHALIFA,2.244295349544454,20477,0,0,8,0,0,88826,62.786776799227994
Jumeira Baccalaureate School,JUMEIRA BAY,1.8997715280050858,39,0,7,8,0,68349,88826,60.562812062547856
Jumeirah College,BURJ KHALIFA,4.521817574016454,20477,0,0,8,0,0,88826,64.98762934669553
Jumeirah English Speaking School,BURJ KHALIFA,3.6956384732921976,20477,0,0,8,0,0,88826,64.27602259720635
Jumeirah English Speaking School - Arabian Ranches,AL BARSHAA FIRST,9.530365814742986,39451,0,0,0,0,0,0,73.15517749910526
K12 International Academy,AL BARSHAA FIRST,4.360017269151285,39451,0,0,8,0,0,131088,75.52160389427614
Khadija Al Kobra Iranian School for Girls,AL TWAR FIRST,1.128375922343991,11509,0,8,18,0,124776,404306,55.61718424326616
Kings' Dubai,AL BARSHAA FIRST,2.5505166700628283,39451,0,0,8,0,0,131088,70.48162154923183
Latifa School for Girls,BURJ KHALIFA,7.444936651696634,20477,0,0,0,0,0,0,62.48506219286205
Little Flowers English School,AL QUSAIS SECOND,1.083952707200253,12473,0,5,24,0,136597,426245,52.63378761988167
Lycee Francais International School,AYAL NASIR,2.0962920551648447,19280,0,0,18,0,0,391847,56.02397988452127
Lycee Georges Pompidou High School,AL GARHOUD,8.400446035763753,18535,0,0,0,0,0,0,64.40652626768434
Lycee Georges Pompidou Primary School,AYAL NASIR,2.5340398691540535,19280,0,0,17,0,0,369202,56.3564111455188
Lycee Libanais Francophone Prive,DUBAI  AIRPORT,5.145324047522442,22,0,0,0,0,0,0,50.735057388464526
Mirdif Private School,AL KHBEESI,5.532566790517318,1992,0,0,0,0,0,0,52.66473136890151
National Charity School,AL REGA,0.31152902566750296,10480,2,5,13,60570,124301,273491,54.70522225674709
New Academy School,AL TWAR FIRST,1.5899841131101695,11509,0,2,13,0,86575,246636,57.115413124266205
New Indian Model School,AL REGA,0.28307248232030835,10480,3,5,13,60584,124301,273491,54.75914311655266
New World Private School,DUBAI  AIRPORT,1.6542639468069937,22,0,1,8,0,22,189788,52.13416374912985
Nibras International School,AL BARSHAA FIRST,12.989702417654982,39451,0,0,0,0,0,0,83.54771429831
North American International School,AL KHBEESI,5.115222733552028,1992,0,0,0,0,0,0,52.80668296744363
