school_name,community_name,community_population,distance_km
Sabari Indian School ,PORT SAEED,13551,12.710424523242736
Foremarke School,AL NAHDA FIRST,31449,22.6718809727763
The Elite English School,RAS AL KHOR IND. SECOND,2514,73.22975971294446
His Highness Shaikh Rashid Al Maktoum Pakistani School,MARGHAM,1005,102.26149548191049
Philadelphia Private School,ME'AISEM SECOND,12,88.07436643243516
Gulf Indian High School,NAD AL SHIBBA FIRST,5948,80.8575638365627
Dubai College,WORLD ISLANDS,7,14.681822014186578
Al Salam Private School,MUHAISANAH FOURTH,34947,5.568554888673961
Nibras International School,AL YALAYIS 3,4,152.159281898567
The Winchester School,AL KHAWANEEJ ONE,12893,49.50493554817263
Dubai British School - Jumairah Park ,NAKHLAT JABAL ALI,5,50.703163391164395
Our Own High School - Dubai,AL WARQAA FIRST,24679,59.188991502384084
Ambassador School,AL BARSHA SOUTH FOURTH,25974,17.127332661441436
Philadelphia Private School,AL REGA,10480,6.965077656541638
GEMS Wellington Primary School,GHADEER BARASHY,7,134.37517516269435
Delhi Private School Academy,AL O'SHOOSH,0,137.17802031051752
Al Mawakeb School - Al Barsha,JABAL ALI INDUSTRIAL SECOND,23000,87.42841363792249
GEMS Winchester School,AL SUQ AL KABEER,51012,24.12105081589435
Universal American School,AL FAGAA',417,124.47956280482845
Bradenton Preparatory Academy,ME'AISEM FIRST,18002,119.49229437460764
Al Safa Private School,MENA JABAL ALI,24487,84.74039496260394
American School of Dubai,NAD AL SHIBBA FOURTH,3685,102.50330072553298
The English College - Dubai,AL HAMRIYA PORT,481,18.060621315672165
Towheed Iranian School for Girls,AL YALAYIS 1,1114,120.33078545017891
Raffles World Academy,AL QUSAIS FIRST,45657,20.316289051501276
Al Mawakeb School - Al Garhoud,AL WARQAA FIFTH ,60,60.36301427695564
Sharjah American International School,DUBAI INVESTMENT PARK2,60630,74.9790088339408
Ranches Primary School ,AL YUFRAH 2,58,138.87314736613
Regent International School,AL WOHOOSH,46,122.02906373253019
Star International School - Mirdif,NAKHLAT DEIRA,2,11.566798341429541
The Indian International School,REMAH,232,119.19776639721842
Uptown School,AL BARSHA SOUTH SECOND,7509,24.734542719950426
The Elite English School,DUBAI  AIRPORT,22,4.698596094752429
Lycee Libanais Francophone Prive,AL WARQAA  SECOND,10689,51.44406834633173
GEMS Our Own Indian School,AL GOZE SECOND,5240,50.22674988474976
The School of Research Science,AL YUFRAH 2,58,113.73610745771101
Nord Anglia International School Dubai,WADI AL SAFA 2,10519,108.23305358984855
Al Khaleej National School,AL MANKHOOL,40091,25.910629646463494
The Indian High School,AL MARMOOM,94,118.5863119849663
Al Ittihad Private School - Al Mamzar,WADI AL SAFA 7,8473,84.0196463213776
