school_name,location,latitude,longitude,type_of_school,grades,students,year_established,nearest_healthcare_name,nearest_healthcare_distance_km_x,nearest_metro_station,nearest_metro_distance_km_x,nearest_community,nearest_community_distance_km,healthcare_accessibility_tier,metro_accessibility_tier,community_accessibility_tier,performance_category,geographic_cluster_label,accessibility_category,comprehensive_accessibility_score,final_urban_score,healthcare_within_1km_x,metro_within_1km_x,communities_within_1km,population_within_1km
Adab Iranian Private School - Boys,Al Qusais,25.276381,55.368653,Iranian,KG1-G12,260.0,1989.0,Adab Iranian Pvt. School,0.044365103538283,Al Nahda,0.3523910115457023,DUBAI  AIRPORT,2.609314840211165,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2824,18,30,0,0
Adab Iranian Private School - Girls,Al Qusais,25.276431,55.369036,Iranian,KG1-G12,192.0,1989.0,Adab Iranian Pvt. School,0.0785663364395044,Al Nahda,0.3524317632139666,DUBAI  AIRPORT,2.6199275980039087,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.282,19,30,0,0
Al Ameen Private School,Al Nahda,25.290983,55.378581,UK,FS1-G10,613.0,1992.0,M S B Private School,0.0331387717243538,Al Nahda,2.1773559146506933,AL QUSAIS IND. FOURTH,3.58777080068576,Excellent,Moderate,Moderate,High,Northern Cluster,Excellent,4.7,3.1708,28,0,0,0
Al Arqam Private School,Al Barsha ,25.108514,55.189206,MOE,KG1-G12,922.0,1990.0,Al Arqam Pvt. School,0.0717973026071669,Mashreq,0.7212537663431201,AL BARSHAA FIRST,1.397633095351262,Excellent,Excellent,Good,High,Southern Cluster,Excellent,4.3100000000000005,3.0264,24,10,0,0
Al Basateen Kindergarten - Al Khawaneej,Al Khawaneej,25.231106,55.522533,MOE,KG1-KG2,140.0,2003.0,Dubai Women Association- Al Basateen Private Nursery,0.0258921063965895,Etisalat,12.503518102691588,UM RAMOOL,10.479411291821036,Excellent,Poor,Poor,High,Eastern Cluster,Excellent,5.0,3.1596,1,0,0,0
Al Diyafah High School,Al Nahda,25.290128,55.374764,UK,FS1-G12,1547.0,1982.0,Al Diyafah High School,0.0309974469903344,Stadium,1.9067202782386328,AL QUSAIS IND. THIRD,3.382396993794484,Excellent,Good,Moderate,High,Northern Cluster,Excellent,4.7,3.188,40,0,0,0
Al Eman Private School,Al Rashidiya,25.230481,55.389272,MOE,KG1-G9,494.0,1973.0,Be You Plus Clinic LLC,0.109352461559098,Rashidiya,0.195850493800016,AL MURQABAT,1.884070156952804,Excellent,Excellent,Good,High,Eastern Cluster,Excellent,4.4,3.0808,6,10,0,0
Al Ittihad Private School - Al Mamzar,Al Mamzar,25.299889,55.344353,US,KG1-G12,2065.0,1975.0,Al Ittihad Pvt. School Clinic,0.0911155029923135,Al Qiyadah,2.611649321963178,AL QUSAIS IND. SECOND,0.4039306316492856,Excellent,Moderate,Excellent,Medium,Northern Cluster,High,3.8,2.6332,3,0,3,20913
Al Ittihad Private School - Jumeirah,Al Safa,25.180714,55.241033,US,KG1-G12,1749.0,1998.0,Al Ittihad Private School- Jumeira,0.1065191161660097,Business Bay,2.2768324518027057,BURJ KHALIFA,3.825286439960529,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.1892,35,0,0,0
Al Khaleej National School,Al Garhoud,25.234294,55.352911,US,KG1-G12,2075.0,1992.0,Matar Medical Center,0.1223795295325012,Airport Terminal 3,1.3649900607167336,CORNICHE DEIRA,0.2921830736865025,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.8,2.6924,15,0,2,10494
Al Maaref Private School,Al Qusais,25.286192,55.367858,US,KG1-G12,1648.0,1987.0,The Millenium School,0.0476677819477255,Stadium,1.1263940057665096,AL QUSAIS IND. SECOND,3.1581085847187658,Excellent,Good,Moderate,High,Northern Cluster,Excellent,4.7,3.2452,36,0,0,0
Al Mawakeb School - Al Barsha,Al Barsha,25.104503,55.201706,US,KG1-G12,2515.0,1998.0,ALMAWAKEB SCHOOL ALBARSHA,0.0289861450875389,Mashreq,1.5780907907243225,AL BARSHAA FIRST,1.0117288288748576,Excellent,Good,Good,Medium,Southern Cluster,Excellent,4.3100000000000005,2.9736,21,0,0,0
Al Mawakeb School - Al Garhoud,Al Garhoud,25.234675,55.358314,US,KG1-G12,2429.0,1995.0,Al Mawakeb School,0.0837638308885029,Emirates,1.029512508100886,CORNICHE DEIRA,0.3128852599755808,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.8,2.7092,7,0,2,24761
Al Rashid Al Saleh Private School,Oud Metha,25.237524,55.317428,MOE,KG1-G12,2583.0,1973.0,Al Rashid Al Saleh Pvt. School Clinic,0.0968652143994271,Oud Metha,0.6989350449393369,AYAL NASIR,2.0996411357303306,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2648,90,20,0,0
Al Sadiq Islamic English School,Al Qusais,25.265897,55.385764,UK,FS1-G10,1896.0,1989.0,Al Sadiq Islamic English School,0.0522089931449363,Al Qusais,0.3991039078937602,DUBAI  AIRPORT,2.493705410179176,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.28,23,10,0,0
Al Safa Private School,Al Safa ,25.178439,55.238414,UK,FS1-G6,748.0,2005.0,Jumairah International Nursery- Branch,0.1786710910099255,Business Bay,2.634337849276107,BURJ KHALIFA,4.178936765719631,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.1708,41,0,0,0
Al Salam Private School,Al Nahda,25.288675,55.369481,UK,FS1-G11,1174.0,1989.0,Al Salam Pvt. School,0.0250916774769227,Stadium,1.4466397070824588,AL QUSAIS IND. THIRD,3.0835367032575784,Excellent,Good,Moderate,High,Northern Cluster,Excellent,4.7,3.23,33,0,0,0
Al Shorouq Private School,Jumeirah First,25.213097,55.2553,MOE,KG1-G12,2096.0,1986.0,Al Shorooque Pvt. School,0.0337445026143259,Burj Khalifa / Dubai Mall,1.9332803344182647,JUMEIRA BAY,1.8118524916137415,Excellent,Good,Good,Medium,Central Cluster,Excellent,4.3100000000000005,2.9728000000000003,77,0,0,0
Ambassador Kindergarten,Al Mankhool,25.246404,55.294147,Kindergarten,KG1-KG2,293.0,2012.0,Al Mankhool Medical Center - PHC,0.1859951812485365,Abu Dhabi Commercial Bank,0.4593031438982068,AL TWAR FIRST,1.359455157957869,Excellent,Excellent,Good,High,Northern Cluster,Excellent,4.4,3.0948,43,10,0,0
Al Mizhar American Academy Private School for Girls,Al Mizhar,25.238386,55.428675,US,KG1-G12,664.0,2005.0,AMERICAN ACADEMY FOR GIRLS (BR TAALEEM MANAGEMENT (L L C) ),0.0129790101723146,Etisalat,3.32813079846208,HOR AL ANZ,5.127467080297136,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.256,31,0,0,0
American International School,Al Qusais,25.283458,55.368764,US,KG1-G12,2349.0,2003.0,American International School,0.0196565877910611,Stadium,0.9577430886861048,DUBAI  AIRPORT,3.3925619743104294,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2536,36,10,0,0
American School of Dubai,Al Barsha ,25.10029,55.182186,US,KG1-G12,1627.0,1973.0,American School Of Dubai,0.2086449848576748,Dubai Internet City,0.8697704742501712,AL BARSHAA FIRST,2.47599790909636,Excellent,Excellent,Moderate,High,Southern Cluster,Excellent,4.7,3.2548,30,10,0,0
Apple International School,Al Qusais,25.278833,55.374983,UK,FS1-G7,2315.0,1994.0,Apple International School,0.0426980855327425,Al Nahda,0.8390432100356453,DUBAI  AIRPORT,3.0192877996765524,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2592,22,20,0,0
Arab Unity School,Al Mizhar,25.236325,55.429928,UK,FS1-G12,3331.0,1975.0,ARAB UNITY SCHOOL L.L.C,0.013688703864486,Etisalat,3.5613403009178546,AL KHBEESI,5.009832588908054,Excellent,Moderate,Poor,High,Eastern Cluster,Excellent,5.0,3.2408,32,0,0,0
Bradenton Preparatory Academy,Dubai Sports City,25.035053,55.22865,US,KG1-G12,685.0,2009.0,NEW DWIGHT SCHOOL LLC,0.0214222574374112,Station R73,6.853266662555233,AL BARSHAA FIRST,9.140113262103643,Excellent,Poor,Poor,High,Southern Cluster,Excellent,5.0,3.1676,9,0,0,0
Buds Public School,Al Muhaisnah,25.240664,55.407408,Indian(CBSE),KG1-G12,896.0,1986.0,Buds Public School,0.0244973064010342,Etisalat,1.699094141241969,REGA AL BUTEEN,3.960792065210764,Excellent,Good,Moderate,High,Eastern Cluster,Excellent,4.7,3.174,4,0,0,0
Cambridge International School,Al Garhoud,25.235847,55.350853,UK,FS1-G12,2583.0,2004.0,Grammar School,0.1478503458969886,Airport Terminal 3,1.3415127170581096,AL REGA,0.3922144651504087,Excellent,Good,Excellent,Medium,Northern Cluster,High,3.8,2.6932,15,0,2,10494
Collegiate American School,Umm Suqeim,25.150553,55.207817,US,KG1-G9,817.0,2011.0,Collegiate American School(Br Of Innoventure Educational Investments(L.L.C),0.1166083721063951,Noor Bank,2.1606481155981703,AL BARSHAA FIRST,4.151935760790938,Excellent,Moderate,Moderate,High,Central Cluster,Excellent,4.7,3.1664,68,0,0,0
Crescent English School,Al Qusais,25.281597,55.367514,Indian(CBSE),KG1-G12,1436.0,1984.0,American International School,0.2349725438445675,Stadium,0.7307846573711811,DUBAI  AIRPORT,3.175844250698886,Excellent,Excellent,Moderate,High,Northern Cluster,Excellent,4.7,3.2612,34,20,0,0
Dar Al Marefa Private School,Mirdif,25.227722,55.431953,IB,KG1-11,529.0,2008.0,Chinese School Clinic,0.0635036508065051,Rashidiya,4.108888541858472,AL KHBEESI,4.385236086473763,Excellent,Moderate,Moderate,High,Eastern Cluster,Excellent,4.7,3.0336,34,0,0,0
Deira International School,Ras Al Khor,25.212747,55.373747,UK/IB,FS1-G12,1493.0,2005.0,Deira International School-Dubai Festival City,0.1428037540696028,Rashidiya,2.6187519301021904,AL MURQABAT,0.7091221830740743,Excellent,Moderate,Excellent,Medium,Eastern Cluster,Excellent,4.04,2.74,8,0,2,76891
Deira Private School,Al Twar,25.242522,55.3984,UK,FS1-G5,238.0,2009.0,Deira Pvt School,0.0531170512265333,Etisalat,1.3907590104773728,AL MURQABAT,3.486955402911033,Excellent,Good,Moderate,High,Eastern Cluster,Excellent,4.7,3.1964,3,0,0,0
