school_name,location,latitude,longitude,grades_2014_15,students_2014_15,year_established_in_dubai,type_of_school
Adab Iranian Private School - Boys,Al Qusais,25.276381,55.368653,KG1-G12,260.0,1989.0,Iranian
Adab Iranian Private School - Girls,Al Qusais,25.276431,55.369036,KG1-G12,192.0,1989.0,Iranian
Al Ameen Private School,Al Nahda,25.290983,55.378581,FS1-G10,613.0,1992.0,UK
Al Arqam Private School,Al Barsha ,25.108514,55.189206,KG1-G12,922.0,1990.0,MOE
Al Basateen Kindergarten - Al Khawaneej,Al Khawaneej,25.231106,55.522533,KG1-KG2,140.0,2003.0,MOE
Al Diyafah High School,Al Nahda,25.290128,55.374764,FS1-G12,1547.0,1982.0,UK
Al Eman Private School,Al Rashidiya,25.230481,55.389272,KG1-G9,494.0,1973.0,MOE
Al Ittihad Private School - Al Mamzar,Al Mamzar,25.299889,55.344353,KG1-G12,2065.0,1975.0,US
Al Ittihad Private School - Jumeirah,Al Safa,25.180714,55.241033,KG1-G12,1749.0,1998.0,US
Al Khaleej National School,Al Garhoud,25.234294,55.352911,KG1-G12,2075.0,1992.0,US
Al Maaref Private School,Al Qusais,25.286192,55.367858,KG1-G12,1648.0,1987.0,US
Al Mawakeb School - Al Barsha,Al Barsha,25.104503,55.201706,KG1-G12,2515.0,1998.0,US
Al Mawakeb School - Al Garhoud,Al Garhoud,25.234675,55.358314,KG1-G12,2429.0,1995.0,US
Al Rashid Al Saleh Private School,Oud Metha,25.237524,55.317428,KG1-G12,2583.0,1973.0,MOE
Al Sadiq Islamic English School,Al Qusais,25.265897,55.385764,FS1-G10,1896.0,1989.0,UK
Al Safa Private School,Al Safa ,25.178439,55.238414,FS1-G6,748.0,2005.0,UK
Al Salam Private School,Al Nahda,25.288675,55.369481,FS1-G11,1174.0,1989.0,UK
Al Shorouq Private School,Jumeirah First,25.213097,55.2553,KG1-G12,2096.0,1986.0,MOE
Ambassador Kindergarten,Al Mankhool,25.246404,55.294147,KG1-KG2,293.0,2012.0,Kindergarten
Al Mizhar American Academy Private School for Girls,Al Mizhar,25.238386,55.428675,KG1-G12,664.0,2005.0,US
American International School,Al Qusais,25.283458,55.368764,KG1-G12,2349.0,2003.0,US
American School of Dubai,Al Barsha ,25.10029,55.182186,KG1-G12,1627.0,1973.0,US
Apple International School,Al Qusais,25.278833,55.374983,FS1-G7,2315.0,1994.0,UK
Arab Unity School,Al Mizhar,25.236325,55.429928,FS1-G12,3331.0,1975.0,UK
Bradenton Preparatory Academy,Dubai Sports City,25.035053,55.22865,KG1-G12,685.0,2009.0,US
Buds Public School,Al Muhaisnah,25.240664,55.407408,KG1-G12,896.0,1986.0,Indian(CBSE)
Cambridge International School,Al Garhoud,25.235847,55.350853,FS1-G12,2583.0,2004.0,UK
Collegiate American School,Umm Suqeim,25.150553,55.207817,KG1-G9,817.0,2011.0,US
Crescent English School,Al Qusais,25.281597,55.367514,KG1-G12,1436.0,1984.0,Indian(CBSE)
Dar Al Marefa Private School,Mirdif,25.227722,55.431953,KG1-11,529.0,2008.0,IB
Deira International School,Ras Al Khor,25.212747,55.373747,FS1-G12,1493.0,2005.0,UK/IB
Deira Private School,Al Twar,25.242522,55.3984,FS1-G5,238.0,2009.0,UK
Delhi Private School Dubai,Jebel Ali,25.039236,55.121742,KG1-G12,3539.0,2003.0,Indian(CBSE)
GEMS Dubai American Academy,Al Barsha ,25.114397,55.207717,KG1-G12,2312.0,1997.0,US/IB
Dubai Arab American Private School,Al Muhaisnah,25.244592,55.417228,KG1-G12,1253.0,2006.0,US
Dubai British School,Emirates  Hills,25.055206,55.17015,FS1-G12,1045.0,2005.0,UK
Dubai Carmel School,Al Nahda,25.296431,55.379344,FS1-G11,905.0,1982.0,UK
Dubai College,Al Sufouh,25.110194,55.169042,G6-G12,850.0,1978.0,UK
Dubai English Speaking College,Dubai Academic City,25.105911,55.399886,G6-G12,1130.0,2005.0,UK
Dubai English Speaking School,Umm Hurair,25.238244,55.317725,FS1-G5,971.0,1973.0,UK
Dubai Gem Private School,Oud Metha,25.235942,55.316167,FS1-G12,1354.0,1983.0,UK
Dubai International Academy,Emirates  Hills,25.077917,55.179,FS1-G12,2033.0,2005.0,IB
Dubai International School - Al Garhoud,Al Garhoud,25.248367,55.341864,KG1-G12,2458.0,1985.0,US
Dubai International School - Al Quoz,Al Quoz,25.170089,55.262378,KG1-G12,2179.0,1999.0,US
Dubai Modern Education School,Al Mizhar,25.238822,55.427392,KG1-G12,2668.0,1996.0,MOE/US
GEMS Modern Academy,Nad Al Sheba,25.153603,55.376153,KG1-12,3780.0,2004.0,Indian(CISCE)
Dubai National School - Al Barsha,Al Barsha ,25.106917,55.192436,KG1-G12,2843.0,1988.0,US
Dubai National School - Al Twar,Al Twar,25.278803,55.368489,KG1-G12,1957.0,2000.0,US
Dubai Police Kindergarten - Deira,Al Waheda,25.286906,55.338789,KG1-KG2,95.0,2000.0,MOE
Dubai Scholars Private School,Al Qusais,25.280228,55.364739,FS1-G11,1572.0,1994.0,UK
Dubai Women's College High School,Al Nahda,25.285,55.376523,G9-G12,58.0,2012.0,US
Emirates English Speaking School,Al Safa ,25.177928,55.241281,KG1-G12,1848.0,1980.0,Indian(CBSE)
Emirates International School - Jumeirah,Umm Al Sheif,25.131186,55.203358,FS1-G12,1893.0,1991.0,IB
Emirates International School - Meadows,Emirates  Hills,25.064758,55.156161,FS1-G12,1609.0,2006.0,IB
English Language Private School,Umm Hurair,25.241956,55.317775,FS1-G11,1528.0,1982.0,UK
GEMS Jumeirah Primary School,Al Safa,25.175947,55.238661,FS1-G5,1452.0,1994.0,UK
GEMS Royal Dubai School,Al Mizhar,25.237303,55.438586,FS1-G5,1128.0,2005.0,UK
GEMS Wellington Academy - DSO,Dubai Silicon Oasis,25.118243,55.388303,FS1-G12,3524.0,2011.0,UK
GEMS Wellington International School,Al Sufouh,25.112042,55.183447,FS1-G12,2408.0,2005.0,UK
GEMS Wellington Primary School,Al Satwa,25.211233,55.271647,FS1-G5,1145.0,2007.0,UK
