Facility_Name,Latitude,Longitude,Type
Barakat Optical Dso Branch,25.127201755739,55.396687783454375,Optometry
Get On Track,25.13456170915173,55.19994601612464,Physiotherapy
Dr Johnny Sayegh Clinic,25.20054646533093,55.26622030351874,Pediatrics
Omniyati Prosthetics Arts Center,25.25674670992911,55.32658728700616,Prosthetics and Orthotics
Specialized Medical And Dental Center,25.240491701043812,55.27217877452317,General Dentistry
Family First Medical Center LLC,25.170577,55.150404,Obstetrics and Gynecology
The Wonder Years Nursery,25.04020717106067,55.2189878743736,Nursing
Dr Roze And Associates Dental Clinic LLC,25.15233890004707,55.20137268713838,General Dentistry
Dr Michaels Dental Clinic Branch,25.15738637158238,55.21759458074784,General Dentistry
Cavallo Clinic L L C,25.165322497510505,55.22324670111316,Plastic Surgery
The White House Clinic LLC,25.134549010568424,55.19943924625888,Obstetrics and Gynecology
Dibber Hills Early Childhood Center L.L.C,25.01086315823145,55.25524242032897,Nursing
Dr Inas Nutrition Center,25.22284342881246,55.42451731063357,Clinical Dietetics and Nutrition
German Dental And Neuromuscular Clinic DMCC,25.077126397829986,55.14967526868478,Periodontics
Platinum Medical Center,25.220517709945597,55.25432544780938,Prosthodontics
Oris Dental Center Branch,25.139560005650985,55.190513860485694,General Dentistry
Chubby Cheeks Nursery Branch,25.29738645374914,55.36452950971815,Nursing
Kidz Mate Nursery,25.28967185332682,55.35770915295683,Nursing
New Health Call JLT,25.07787817989189,55.155195840698944,General Dentistry
Clinica JoeLLE,25.182872200484315,55.22564751024339,Plastic Surgery
Doctor Haitham Salman Salih Plastic Surgery Clinc,25.28775946003113,55.3654736974216,Plastic Surgery
American Medical Center,25.07738593420777,55.155066349234176,General Dentistry
PARAMOUNT DENTAL CLINIC L L C,25.15381414445596,55.24553535511272,General Dentistry
Al Arafat Optical,25.24567803344228,55.30223275907379,Optometry
Belhasa Driving Center-Nad Alhamar,25.18639566698517,55.37820665585816,Optometry
Credence High School LLC,25.15250049068141,55.24875853215833,General Practice
Emirates British Nursery Fzco,25.128077245452904,55.39726520934248,Nursing
Dubai International Driving Center,24.964206175323746,55.19133156778278,Optometry
Votre Slimming Therapy Center,25.00463285098997,55.15448766224898,Nursing
Dewa,25.227604656441272,55.32418671436514,Nursing
Oakfield Early Learning Centre,25.068847337063723,55.14587149349014,Nursing
Dabi Smile Dental Clinic LLC,25.217453786187324,55.26084993039747,General Dentistry
Milano Vision Optics LLC,25.26775629798733,55.31586186622627,Optometry
Optimum Diagnostic Clinic Dmcc,25.0798961837887,55.152773064354825,General Dentistry
Dubai British Foundation Kindergarten Br Taaleem,25.05298441497971,55.16909409974879,Nursing
Green Dental Lab,25.236099170954983,55.27630973175113,Dental Lab - Dental Clinical Support
Bissan Dental Center L L C,25.098836403363475,55.176330674491055,General Dentistry
Baby Home Nursery,25.063398135849333,55.13791674753198,Nursing
Davinci Dental Laboratory L.L.C,25.22179646112769,55.28145592556351,Dental Lab - Dental Clinical Support
Safa Community School,25.061793670135195,55.24832034476292,Nursing
Cosmo Secrets Medical Centre LLC,25.11697600216779,55.19648763605462,General Practice
BETTERCARE MEDICAL CENTER LLC,25.16056502664272,55.41988603659491,General Practice
Total Dental Care LLC,25.297193243205516,55.38262928589838,Pediatric Dentistry
Medeor 24X7 Pharmacy,25.25749491098809,55.30637058379788,Pharmacy
Conceive The Gynaecology Centre Dmcc,25.077030344049383,55.154600451770925,Reproductive Medicine and Infertility
Aster Hospital Pharmacy Br Aster Dm Healthcare Fzc Dubai Branch,25.252916025952672,55.28918721718275,Pharmacy
Afak Medical Center,25.26062431747584,55.31980605801132,General Dentistry
DermaPremier Poly Clinic L L C,25.183733054460195,55.22635018458145,General Practice
International Modern Hospital Pharmacy,25.248422188013784,55.28302448056552,Pharmacy
Yateem Optician Llc Branch,25.20987239577903,55.25565529136034,Optometry
Apa Aesthetic Dental And Cosmetic Center LLC,25.143384067551835,55.19996265214208,General Dentistry
Park Avenue Dental Clinic,25.052490093977184,55.23158670866016,Orthodontics
Burjeel Hospital For Advanced Surgery Pharmacy,25.14662004898853,55.223716371487725,Pharmacy
Bay Avenue Dental Centre,25.1865696592708,55.260774608922006,General Dentistry
Dr Joy Dental Clinic Llc -Branch,25.251596195609466,55.30129715607288,Orthodontics
Reach Out Dmcc,25.06301613061229,55.1375771966345,Speech Therapy
Canadian Specialist Hospital Pharmacy,25.27750321123873,55.34885386561166,Pharmacy
Inspire Therapy,25.079106394239847,55.14994251007956,Occupational Therapy
